"estimate","lower","upper","onset_date","n.reported"
12,12,12,2021-07-25,12
7,7,8,2021-08-01,7
6,6,7,2021-08-08,6
2,2,3,2021-08-15,2
2,2,3,2021-08-22,2
6,6,8,2021-08-29,6
4,4,7,2021-09-05,4
1,0,4,2021-09-12,NA
2,1,7,2021-09-19,1
4,1,12,2021-09-26,1
