"estimate","lower","upper","onset_date","n.reported"
19,19,19,2021-08-22,19
9,9,10,2021-08-29,9
9,9,10,2021-09-05,9
9,9,10,2021-09-12,9
9,9,11,2021-09-19,9
4,4,6,2021-09-26,4
6,6,9,2021-10-03,6
3,2,7,2021-10-10,2
5,2,11,2021-10-17,2
4,0,13,2021-10-24,NA
