"estimate","lower","upper","onset_date","n.reported"
4,4,4,2021-07-25,4
1,1,3,2021-08-01,1
2,2,4,2021-08-08,2
3,3,6,2021-08-15,3
2,2,5,2021-08-22,2
3,3,6,2021-08-29,3
1,1,3,2021-09-05,1
1,1,3,2021-09-12,1
1,1,4,2021-09-19,1
3,2,6,2021-09-26,2
