"estimate","lower","upper","onset_date","n.reported"
22,22,22,2021-07-11,22
22,22,22,2021-07-18,22
21,21,23,2021-07-25,21
24,24,26,2021-08-01,24
12,12,13,2021-08-08,12
10,10,12,2021-08-15,10
4,4,6,2021-08-22,4
5,5,7,2021-08-29,5
3,3,4,2021-09-05,3
2,1,6,2021-09-12,1
