"estimate","lower","upper","onset_date","n.reported"
16,16,16,2021-07-25,16
18,18,20,2021-08-01,18
16,16,18,2021-08-08,16
15,15,17,2021-08-15,15
11,11,13,2021-08-22,11
5,5,6,2021-08-29,5
8,8,10,2021-09-05,8
6,6,7,2021-09-12,6
1,1,3,2021-09-19,1
4,3,8,2021-09-26,3
