"estimate","lower","upper","onset_date","n.reported"
36,36,36,2021-07-18,36
36,36,39,2021-07-25,36
33,33,37,2021-08-01,33
25,25,28,2021-08-08,25
20,20,23,2021-08-15,20
17,16,20,2021-08-22,16
25,24,30,2021-08-29,24
25,21,30,2021-09-05,21
22,14,33,2021-09-12,8
23,10,40,2021-09-19,NA
