"estimate","lower","upper","onset_date","n.reported"
423,423,423,2021-07-18,423
321,318,326,2021-07-25,318
304,299,311,2021-08-01,298
260,255,268,2021-08-08,252
236,229,245,2021-08-15,225
227,219,237,2021-08-22,211
217,207,229,2021-08-29,192
200,188,215,2021-09-05,164
188,172,206,2021-09-12,134
209,180,243,2021-09-19,88
