"estimate","lower","upper","onset_date","n.reported"
1337,1337,1337,2021-08-29,1337
1521,1517,1528,2021-09-05,1516
1295,1289,1305,2021-09-12,1285
1292,1284,1304,2021-09-19,1274
1301,1289,1314,2021-09-26,1270
1142,1127,1159,2021-10-03,1091
995,975,1017,2021-10-10,906
862,836,889,2021-10-17,716
939,893,987,2021-10-24,591
1018,891,1170,2021-10-31,153
