"estimate","lower","upper","onset_date","n.reported"
159,159,159,2021-08-22,159
141,141,146,2021-08-29,141
126,125,131,2021-09-05,125
128,126,133,2021-09-12,126
150,147,156,2021-09-19,147
145,141,151,2021-09-26,140
122,116,129,2021-10-03,114
117,110,126,2021-10-10,104
77,70,87,2021-10-17,63
51,39,67,2021-10-24,25
