"estimate","lower","upper","onset_date","n.reported"
573,573,573,2021-08-22,573
553,550,560,2021-08-29,550
634,629,644,2021-09-05,627
516,510,526,2021-09-12,507
511,503,521,2021-09-19,495
459,449,471,2021-09-26,434
355,343,369,2021-10-03,322
262,248,279,2021-10-10,217
195,173,220.025,2021-10-17,109
157,100,220,2021-10-24,12
