"estimate","lower","upper","onset_date","n.reported"
8,8,8,2021-07-11,8
10,10,12,2021-07-18,10
5,5,7,2021-07-25,5
4,4,6,2021-08-01,4
6,6,8,2021-08-08,6
9,9,11,2021-08-15,9
2,2,4,2021-08-22,2
3,3,5,2021-08-29,3
5,4,7,2021-09-05,4
5,2,9,2021-09-12,2
