"estimate","lower","upper","onset_date","n.reported"
39,39,39,2021-07-25,39
31,31,33,2021-08-01,31
38,38,40,2021-08-08,38
34,34,36,2021-08-15,34
26,26,28,2021-08-22,26
27,27,29,2021-08-29,27
20,20,22,2021-09-05,20
22,22,24,2021-09-12,22
17,17,20,2021-09-19,17
18,16,22,2021-09-26,16
