"estimate","lower","upper","onset_date","n.reported"
26,26,26,2021-07-18,26
16,16,17,2021-07-25,16
12,12,13,2021-08-01,12
17,17,18,2021-08-08,17
15,15,16,2021-08-15,15
8,8,9,2021-08-22,8
8,8,9,2021-08-29,8
6,6,7,2021-09-05,6
5,5,6,2021-09-12,5
4,3,7,2021-09-19,3
