"estimate","lower","upper","onset_date","n.reported"
32,32,32,2021-08-22,32
31,31,31,2021-08-29,31
19,19,20,2021-09-05,19
15,15,16,2021-09-12,15
11,11,12,2021-09-19,11
19,19,20,2021-09-26,19
15,15,16,2021-10-03,15
6,6,8,2021-10-10,6
6,4,10,2021-10-17,4
6,2,15,2021-10-24,1
