"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
6.3667143977984,21.7827734267193,7.47972959665238,1.1195163253944,0.00364081958039725,0.481407072217146,0.0964379875952613,0.0720678856990681,0.27796671547336,0.130007608930965,-1.78149699953398,-0.551461095295553,-1.62038390177396,-3.51968380322125,-9.24812700615503,-4.36362260573067,-5.971435635723,-6.26272729017173,-4.91283444389938,-5.67274284292794,3.63258054292675,613.860834059929
6.21599070119356,21.2670945493511,7.30265671039226,1.09301323000956,0.0035546279041979,0.470010384858063,0.094154943457375,0.0703617720805878,0.271386214406163,0.126929847595918,-1.78149699953398,-0.551461095295553,-1.62038390177396,-3.51968380322125,-9.24812700615503,-4.36362260573067,-5.971435635723,-6.26272729017173,-4.91283444389938,-5.67274284292794,3.60862211665123,244.373392327613
6.62527356193104,22.6673954370377,7.78348951293155,1.16498109532768,0.00378867720501298,0.500957534578556,0.100354438672741,0.0749946405561104,0.28925524470821,0.13528735867248,-1.78149699953398,-0.551461095295553,-1.62038390177396,-3.51968380322125,-9.24812700615503,-4.36362260573067,-5.971435635723,-6.26272729017173,-4.91283444389938,-5.67274284292794,3.67238866292071,62.1099777484748
6.46671269948896,22.1249028537179,7.59720938450473,1.13709992099169,0.00369800382835524,0.488968254741713,0.0979526833041368,0.0731998143087177,0.282332577947645,0.132049563271566,-1.78149699953398,-0.551461095295553,-1.62038390177396,-3.51968380322125,-9.24812700615503,-4.36362260573067,-5.971435635723,-6.26272729017173,-4.91283444389938,-5.67274284292794,3.64816489538749,67.8185089418638
6.07063761571937,20.7697904251307,7.13189331384945,1.06745449720523,0.00347150742374277,0.459019786105894,0.0919532491173965,0.0687164509784534,0.265040190817112,0.12396175355046,-1.78149699953398,-0.551461095295553,-1.62038390177396,-3.51968380322125,-9.24812700615503,-4.36362260573067,-5.971435635723,-6.26272729017173,-4.91283444389938,-5.67274284292794,3.58496064286452,46.5060635766286
6.91645259473178,23.6636215125003,8.12557183255271,1.2161817084643,0.00395518857300974,0.522974486637863,0.104764989892527,0.0782906353098731,0.301967936735093,0.141233202550501,-1.78149699953398,-0.551461095295553,-1.62038390177396,-3.51968380322125,-9.24812700615503,-4.36362260573067,-5.971435635723,-6.26272729017173,-4.91283444389938,-5.67274284292794,3.71540000690435,30.4233345234292
6.09818107695188,20.864026311638,7.16425186322089,1.07229771029459,0.00348725821240732,0.461102432853054,0.092370455828222,0.0690282285911805,0.266242720877863,0.124524188004526,-1.78149699953398,-0.551461095295553,-1.62038390177396,-3.51968380322125,-9.24812700615503,-4.36362260573067,-5.971435635723,-6.26272729017173,-4.91283444389938,-5.67274284292794,3.58948754214128,69.666788000272
6.76138938435505,23.1330956293817,7.94340080813738,1.18891555756787,0.00386651533635033,0.511249675149246,0.102416214209427,0.076535400659262,0.295197975246939,0.138066828820715,-1.78149699953398,-0.551461095295553,-1.62038390177396,-3.51968380322125,-9.24812700615503,-4.36362260573067,-5.971435635723,-6.26272729017173,-4.91283444389938,-5.67274284292794,3.69272539870045,163.102252024067
7.64413750210687,21.5227733042785,8.4457269324702,1.23054072483894,0.0038703255808461,0.604843008927793,0.131961392504035,0.0763422716556863,0.32203637373213,0.169715830817202,-1.65873193452113,-0.623559350970323,-1.55901032397693,-3.48521726250468,-9.24708759503894,-4.19545729297745,-5.71791682918413,-6.26519942400259,-4.82576172689383,-5.46630077299195,3.69267094897741,58.0891966947716
7.28774654285934,20.5193217282878,8.05196364365231,1.1731694924144,0.00368988023354853,0.576643544948171,0.125808985218689,0.0727829825378483,0.307022141961004,0.161803206570481,-1.65873193452113,-0.623559350970323,-1.55901032397693,-3.48521726250468,-9.24708759503894,-4.19545729297745,-5.71791682918413,-6.26519942400259,-4.82576172689383,-5.46630077299195,3.64492631654958,61.7777034105545
7.97063121690447,22.4420464344288,8.80645785333449,1.28309914785941,0.00403563356700128,0.630676850979923,0.137597681128701,0.0796029759355456,0.335791078161606,0.17696467374398,-1.65873193452113,-0.623559350970323,-1.55901032397693,-3.48521726250468,-9.24708759503894,-4.19545729297745,-5.71791682918413,-6.26519942400259,-4.82576172689383,-5.46630077299195,3.73449562329689,27.1767259208719
7.92955369506121,22.3263888876761,8.76107280728383,1.27648655572725,0.00401483548696362,0.627426588683604,0.136888556393366,0.0791927332717217,0.33406054202556,0.176052666896168,-1.65873193452113,-0.623559350970323,-1.55901032397693,-3.48521726250468,-9.24708759503894,-4.19545729297745,-5.71791682918413,-6.26519942400259,-4.82576172689383,-5.46630077299195,3.72932868801172,13.7018454573859
10.209750689117,28.7464935729508,11.2803787667497,1.6435489301374,0.00516932868557892,0.807847363486869,0.176251790039566,0.101965141316541,0.430121918624063,0.226677806379387,-1.65873193452113,-0.623559350970323,-1.55901032397693,-3.48521726250468,-9.24708759503894,-4.19545729297745,-5.71791682918413,-6.26519942400259,-4.82576172689383,-5.46630077299195,3.98207514809566,39.4010899123068
10.9608424701082,32.2104755385988,10.3240726132006,1.43928820827867,0.00414237518398261,0.706587707634795,0.188111809822653,0.130983106100992,0.465538705182867,0.198285001263826,-1.64218020022198,-0.564217619569685,-1.70203103122993,-3.67236065492327,-9.52299528621743,-4.38381728720429,-5.70722810633489,-6.06919627165658,-4.80106938467342,-5.65455922940716,4.03650934649828,14.5156811667432
9.57970150183279,28.1517357569338,9.02316899338962,1.2579280696734,0.00362040763557853,0.617552833412706,0.164408437762427,0.114478340661529,0.406877650633509,0.173299737641357,-1.64218020022198,-0.564217619569685,-1.70203103122993,-3.67236065492327,-9.52299528621743,-4.38381728720429,-5.70722810633489,-6.06919627165658,-4.80106938467342,-5.65455922940716,3.90182663324674,14.8269057163312
8.77359175799126,25.7828322482624,8.26389017405391,1.15207632953082,0.00331575869937109,0.565587189571331,0.15057384765284,0.104845252840534,0.372639836578001,0.158716965193682,-1.64218020022198,-0.564217619569685,-1.70203103122993,-3.67236065492327,-9.52299528621743,-4.38381728720429,-5.70722810633489,-6.06919627165658,-4.80106938467342,-5.65455922940716,3.81392647327527,130.226096789701
8.97622873537801,26.3783187194102,8.45475496153404,1.17868496047405,0.00339234025674437,0.57865012681582,0.15405153731558,0.107266783920962,0.381246415527754,0.162382730250228,-1.64218020022198,-0.564217619569685,-1.70203103122993,-3.67236065492327,-9.52299528621743,-4.38381728720429,-5.70722810633489,-6.06919627165658,-4.80106938467342,-5.65455922940716,3.83676003167429,446.700561043878
8.71480298501538,25.6100704975988,8.20851673330799,1.14435666856917,0.00329354095881545,0.561797387423826,0.14956490490853,0.104142721433004,0.370142907229265,0.157653458263844,-1.64218020022198,-0.564217619569685,-1.70203103122993,-3.67236065492327,-9.52299528621743,-4.38381728720429,-5.70722810633489,-6.06919627165658,-4.80106938467342,-5.65455922940716,3.80720327251449,578.656202651414
8.60627556301636,25.29114246984,8.10629420905432,1.13010573492204,0.00325252574480281,0.554801196890577,0.147702339159291,0.102845808456713,0.365533433491088,0.155690163921559,-1.64218020022198,-0.564217619569685,-1.70203103122993,-3.67236065492327,-9.52299528621743,-4.38381728720429,-5.70722810633489,-6.06919627165658,-4.80106938467342,-5.65455922940716,3.79467185399752,521.546640260583
8.53144445298128,25.0712373260625,8.03581041040148,1.12027952543316,0.00322424520577996,0.549977229878583,0.146418075145998,0.10195156960125,0.362355139653901,0.154336446195176,-1.64218020022198,-0.564217619569685,-1.70203103122993,-3.67236065492327,-9.52299528621743,-4.38381728720429,-5.70722810633489,-6.06919627165658,-4.80106938467342,-5.65455922940716,3.7859388853709,856.28704960327
8.34425889016773,24.5211577123259,7.85949938796865,1.09569984790817,0.00315350312255841,0.537910363842377,0.143205565241804,0.099714684389055,0.35440482700423,0.150950201966206,-1.64218020022198,-0.564217619569685,-1.70203103122993,-3.67236065492327,-9.52299528621743,-4.38381728720429,-5.70722810633489,-6.06919627165658,-4.80106938467342,-5.65455922940716,3.76375394454455,442.744396987809
8.11067356009722,23.8347237469688,7.63948419154529,1.06502733234978,0.00306522541240381,0.522852349518957,0.139196734779418,0.0969233175615781,0.344483781937914,0.146724571719758,-1.64218020022198,-0.564217619569685,-1.70203103122993,-3.67236065492327,-9.52299528621743,-4.38381728720429,-5.70722810633489,-6.06919627165658,-4.80106938467342,-5.65455922940716,3.73536111793354,1001.09480973069
8.75686405938851,21.6484977176001,10.1792672998454,1.0772652645057,0.00380521332432732,0.678721822516291,0.202571632976672,0.0976569249294746,0.578044368881922,0.155998902399276,-1.60013052384181,-0.695032318056799,-1.44961534655326,-3.69554271331473,-9.3413516056383,-4.15751230299431,-5.36663009250364,-6.09626308896787,-4.31807303109482,-5.62787468826987,3.76996838061044,1473.06386154458
8.58836495391968,21.2319384932681,9.98339838801585,1.05653658444503,0.00373199361497488,0.665661893849983,0.198673760551288,0.095777815652243,0.566921670343115,0.152997179941313,-1.60013052384181,-0.695032318056799,-1.44961534655326,-3.69554271331473,-9.3413516056383,-4.15751230299431,-5.36663009250364,-6.09626308896787,-4.31807303109482,-5.62787468826987,3.75053889875418,1222.89147677376
8.18991081443523,20.2468902533163,9.52022216819163,1.00751894513328,0.0035588490976663,0.634778746880252,0.189456362044897,0.0913342379372557,0.540619540947861,0.145898930157547,-1.60013052384181,-0.695032318056799,-1.44961534655326,-3.69554271331473,-9.3413516056383,-4.15751230299431,-5.36663009250364,-6.09626308896787,-4.31807303109482,-5.62787468826987,3.70303353207915,1240.93274488887
8.19349046202428,20.2557397674958,9.52438326848976,1.00795931168239,0.00356040460002535,0.635056196081145,0.189539169663318,0.0913741583212547,0.540855835027272,0.145962699686351,-1.60013052384181,-0.695032318056799,-1.44961534655326,-3.69554271331473,-9.3413516056383,-4.15751230299431,-5.36663009250364,-6.09626308896787,-4.31807303109482,-5.62787468826987,3.70347051675475,1770.17185270636
8.26284309799481,20.4271915990345,9.60500105754132,1.01649104007583,0.00359054113893729,0.640431539030744,0.191143497037194,0.092147581902882,0.54543383240373,0.147198180220995,-1.60013052384181,-0.695032318056799,-1.44961534655326,-3.69554271331473,-9.3413516056383,-4.15751230299431,-5.36663009250364,-6.09626308896787,-4.31807303109482,-5.62787468826987,3.71189925287698,428.951994599262
8.15298811473148,20.1556108895118,9.47730200554352,1.00297673212268,0.00354280468405774,0.631916964184393,0.188602233041389,0.0909224744008221,0.538182257634689,0.145241171787845,-1.60013052384181,-0.695032318056799,-1.44961534655326,-3.69554271331473,-9.3413516056383,-4.15751230299431,-5.36663009250364,-6.09626308896787,-4.31807303109482,-5.62787468826987,3.69851502374297,2563.98093053845
8.23680009927846,20.3628087566783,9.57472781778044,1.01328724272207,0.00357922439757316,0.638413013742162,0.190541047034339,0.0918571492601765,0.543714722839542,0.146734237970963,-1.60013052384181,-0.695032318056799,-1.44961534655326,-3.69554271331473,-9.3413516056383,-4.15751230299431,-5.36663009250364,-6.09626308896787,-4.31807303109482,-5.62787468826987,3.70874245487447,1082.3036833413
8.22555081243079,20.3349985544193,9.56165127611227,1.01190336078794,0.00357433612525197,0.637541110693367,0.190280818442105,0.0917316967290258,0.542972152568709,0.146533837874638,-1.60013052384181,-0.695032318056799,-1.44961534655326,-3.69554271331473,-9.3413516056383,-4.15751230299431,-5.36663009250364,-6.09626308896787,-4.31807303109482,-5.62787468826987,3.70737578632768,481.928937262116
8.09162467472793,20.2137998315592,8.5665508487417,1.18626748185844,0.0036622811352124,1.00310042347295,0.154277870334042,0.0973516018833368,0.673454953421811,0.162248914271865,-1.60185115631349,-0.686315161142534,-1.54481550874078,-3.52186888436919,-9.30234975700865,-3.68958506520886,-5.56168064191943,-6.02210678469173,-4.08801486195207,-5.51130430739947,3.69268069228032,289.781484293104
7.33261457013582,17.1587121652758,9.84892255261503,1.51873348013608,0.00309640723562323,0.747953186330604,0.121432941259188,0.0683040604668672,0.653685495675851,0.180158629681334,-1.63556548008049,-0.785391584203863,-1.34053556312414,-3.21002087603288,-9.40541042265454,-3.91831251488949,-5.73629071916402,-6.31168369050972,-4.05302656345707,-5.34181516698401,3.62789762680379,167.872692269752
7.18134601480008,16.8717394597955,9.65672468747034,1.42883446557191,0.00334046479016429,0.774903830150817,0.081686949656514,0.0675183863071415,0.872935930932627,0.149370709837623,-1.64181744377392,-0.787664275614175,-1.34564974504386,-3.25644522361664,-9.31494959945,-3.8683206239632,-6.11816530130817,-6.30865960496619,-3.7491973918811,-5.51462835396774,3.61330427650662,152.958727165008
10.0698549272581,20.0314526142644,9.0211078138876,1.22236907708181,0.00387850590502215,0.802949729899419,0.0976621133449857,0.0677688331384837,1.07418793910325,0.178232829409037,-1.44159089754066,-0.753833528759706,-1.55157005370092,-3.5503463555179,-9.30344247327116,-3.97060036759817,-6.07737877849925,-6.44279007568593,-3.67957222710638,-5.47580175076686,3.75113719773817,250.862800505409
