"estimate","lower","upper","onset_date","n.reported"
3,3,3,2021-08-01,3
1,1,2,2021-08-08,1
6,6,8,2021-08-15,6
6,6,9,2021-08-22,6
2,2,5,2021-08-29,2
5,5,9,2021-09-05,5
7,7,12,2021-09-12,7
10,9,14,2021-09-19,9
7,6,11,2021-09-26,6
6,3,13,2021-10-03,3
