"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
8,15,1.17865013292269,0.188518435180066,0.845957966622176,0.892681685709115,1.04615302220247,1.16566893496975,1.29676241018745,1.50664564793604,1.58350511329486,2020-01-12
15,22,0.853874755487679,0.149513938353094,0.58640733164972,0.625142116574507,0.748341956795727,0.844186049395336,0.94946399982106,1.11403250382746,1.17159853497558,2020-01-19
22,29,1.01608719774564,0.177077980571701,0.698876054139939,0.745644652311117,0.892405726582401,1.00362353543826,1.13005363638958,1.32234556867296,1.39224084612521,2020-01-26
29,36,1.13127021079366,0.18536575753667,0.796376712377529,0.844083021863105,1.0020663371319,1.1213234337388,1.25061645982598,1.45133876625729,1.52248817717267,2020-02-02
36,43,1.0680813733639,0.167031636776997,0.765825189587268,0.810216748867478,0.951892408485284,1.05926151744282,1.17567193484138,1.35746384583848,1.41871569850698,2020-02-09
43,50,1.25434224864209,0.170355476269348,0.944072569014809,0.988496711157057,1.13464535845996,1.24722190089505,1.36511858082843,1.5484747478003,1.60848072375097,2020-02-16
50,57,1.16725456737619,0.141212844282239,0.907927170384484,0.946569190332763,1.06863850830707,1.16128089310923,1.25906451864251,1.40810109853512,1.45965237934659,2020-02-23
57,64,1.38447007367324,0.136077044378033,1.13053453132227,1.16869708627721,1.29041829898544,1.37911024601688,1.4739526401087,1.61596400028024,1.66416653888477,2020-03-01
64,71,1.74378550089966,0.143943513108316,1.47884555448816,1.51821691039878,1.64442672594109,1.73760399293187,1.83670527985636,1.98974719052726,2.04441537516131,2020-03-08
71,78,2.12106766079984,0.184236632934518,1.78551044021467,1.83647960841914,1.9943846854711,2.10967841995746,2.23656782455612,2.43944752230191,2.51459060128412,2020-03-15
78,85,1.77362292174885,0.126744206418875,1.5480469445299,1.58362785736881,1.68675651374351,1.76336861142741,1.84921507348406,1.99702631198353,2.05387061222882,2020-03-22
85,92,1.22888095013119,0.0510341854642987,1.14389923987647,1.15565028898406,1.19383419749518,1.22341968368212,1.25724363947369,1.32095596149572,1.34642663703282,2020-03-29
92,99,1.00801070667458,0.0187388369973722,0.973134500097664,0.978505096265127,0.995303487654932,1.00725311323514,1.02000093435987,1.03977026139908,1.04679561896447,2020-04-05
99,106,1.00378278340277,0.0165053709766908,0.971883511875763,0.97684683966847,0.992589988455848,1.00362834347545,1.01490082066566,1.03112682141178,1.03634579580927,2020-04-12
106,113,1.07228383623919,0.0176392130203084,1.0377443722543,1.04346529754974,1.06039385343407,1.07221722322903,1.08411543738947,1.10142890550334,1.10715572430682,2020-04-19
113,120,1.1147809051975,0.0201121278894116,1.07608026833036,1.08224891579042,1.10093817985123,1.11448089932551,1.12811325954967,1.14819322318496,1.15506518784263,2020-04-26
120,127,1.05335837786493,0.017396189792203,1.02086563066616,1.02568249039214,1.04147042771242,1.05280678247943,1.06469756784357,1.08293853301905,1.08883819539651,2020-05-03
127,134,1.02314765489643,0.0141457860448924,0.995733934797892,0.999938181265288,1.01359969340874,1.02307459657077,1.03269517898895,1.04654118211476,1.05097091413786,2020-05-10
134,141,1.00094206572176,0.013641864784685,0.974555245016619,0.978722632845487,0.99168171047853,1.00085167936901,1.01014369172798,1.02346741517353,1.02786375596757,2020-05-17
141,148,0.950380964395586,0.013683704502035,0.923819510870495,0.927879283252319,0.941176757052973,0.950300330354546,0.959567533976305,0.973023808779787,0.977448182962371,2020-05-24
148,155,0.943561098455849,0.015196538907821,0.913991496018544,0.918719675808398,0.933240742541068,0.943546618143604,0.953810703244475,0.968395555119783,0.973280449532639,2020-05-31
155,162,1.00290643098185,0.0151106376849834,0.973583607835639,0.978149949980308,0.992713654357461,1.00283713647856,1.01303880528375,1.02789896917687,1.03281728379219,2020-06-07
162,169,0.954365723790374,0.0145068259411113,0.926119855052214,0.930750421047689,0.944524698289264,0.954221432339338,0.964084046191099,0.978418771541913,0.983099862938344,2020-06-14
169,176,0.935174289401875,0.0169421128702561,0.9019816586424,0.907416098393067,0.923756116077301,0.935074148841628,0.946439389646001,0.963258423294827,0.968689478252731,2020-06-21
176,183,0.942974024620521,0.0166462204584251,0.910526398676962,0.915598228223265,0.931758981075944,0.942879147564473,0.9541302326141,0.970441300080612,0.975955614196702,2020-06-28
183,190,1.01756017568059,0.0173676492954479,0.983820701487707,0.989232552221803,1.00581522469293,1.01748591676835,1.02925591411755,1.04617305689602,1.05165696269787,2020-07-05
190,197,1.01276417299374,0.0169651631638856,0.979990266759253,0.985160259409022,1.00128814069587,1.01261349058978,1.02412903227625,1.04096786120437,1.04627656999592,2020-07-12
197,204,0.952588165318896,0.0162208849312777,0.921039047145074,0.925954351745941,0.941645922899291,0.952569814296202,0.96335126155088,0.979393496531141,0.984655607145195,2020-07-19
204,211,0.968676345334202,0.0175302688778487,0.934625580566681,0.940016902421877,0.956835761255609,0.968628175284397,0.980542602667351,0.997625717765404,1.00289025898963,2020-07-26
211,218,0.96754980915687,0.0173442428271095,0.933799088807438,0.939426127020511,0.955847404126224,0.967523311932657,0.979149892252536,0.996197912604505,1.00180585799136,2020-08-02
218,225,0.950415226934786,0.0181449756817054,0.915037618715091,0.920615660122376,0.938074154860097,0.950263709638542,0.96264620949002,0.980457803759389,0.986260455489988,2020-08-09
225,232,0.969366653955405,0.0187864454442043,0.932605829342299,0.938555387935125,0.956701976710429,0.96926853208746,0.981961924640521,1.00044966841097,1.00639829100903,2020-08-16
