"estimate","lower","upper","onset_date","n.reported"
1,1,1,2021-07-25,1
2,2,4,2021-08-01,2
7,7,10,2021-08-08,7
4,4,6,2021-08-15,4
5,5,7,2021-08-22,5
4,4,6,2021-08-29,4
2,2,4,2021-09-05,2
1,1,3,2021-09-12,1
1,1,3,2021-09-19,1
0,0,3.02499999999964,2021-09-26,NA
