"estimate","lower","upper","onset_date","n.reported"
12,12,12,2021-07-11,12
11,11,11,2021-07-18,11
19,19,20,2021-07-25,19
13,13,16,2021-08-01,13
11,11,14,2021-08-08,11
20,19,23,2021-08-15,19
21,20,24,2021-08-22,20
11,10,15,2021-08-29,10
6,2,12,2021-09-05,2
11,3,21,2021-09-12,1
