"estimate","lower","upper","onset_date","n.reported"
57,57,57,2021-07-11,57
57,57,60,2021-07-18,57
68,68,72,2021-07-25,68
67,67,71,2021-08-01,67
45,45,49,2021-08-08,45
55,55,59,2021-08-15,55
46,45,50,2021-08-22,45
31,28,35,2021-08-29,28
22,16,30,2021-09-05,13
23,9,43,2021-09-12,1
