"estimate","lower","upper","onset_date","n.reported"
3,3,3,2021-07-18,3
8,8,9,2021-07-25,8
2,2,3,2021-08-01,2
6,6,7,2021-08-08,6
2,2,3,2021-08-15,2
0,0,1,2021-08-22,NA
2,2,3,2021-08-29,2
4,4,5,2021-09-05,4
3,2,7,2021-09-12,2
5,2,16,2021-09-19,2
