"estimate","lower","upper","onset_date","n.reported"
8,8,8,2021-07-11,8
6,6,7,2021-07-18,6
6,5,10,2021-07-25,5
9,7,14,2021-08-01,7
7,5,13,2021-08-08,5
5,2,11,2021-08-15,2
5,1,12,2021-08-22,1
5,0,13,2021-08-29,NA
6,0,15,2021-09-05,NA
6,0,15,2021-09-12,NA
