"estimate","lower","upper","onset_date","n.reported"
11,11,11,2021-08-01,11
12,12,13,2021-08-08,12
2,2,2,2021-08-15,2
0,0,0,2021-08-22,NA
0,0,0,2021-08-29,NA
2,2,3,2021-09-05,2
2,2,3,2021-09-12,2
2,2,4,2021-09-19,2
5,2,15,2021-09-26,2
3,0,40,2021-10-03,NA
