"estimate","lower","upper","onset_date","n.reported"
5,5,5,2021-07-18,5
9,9,9,2021-07-25,9
14,14,15,2021-08-01,14
3,3,4,2021-08-08,3
5,5,6,2021-08-15,5
1,1,2,2021-08-22,1
5,5,6,2021-08-29,5
2,2,4,2021-09-05,2
2,1,6,2021-09-12,1
4,1,14,2021-09-19,1
