"estimate","lower","upper","onset_date","n.reported"
5,5,5,2021-07-18,5
9,9,10,2021-07-25,9
11,11,12,2021-08-01,11
3,3,4,2021-08-08,3
3,3,4,2021-08-15,3
0,0,1,2021-08-22,NA
4,4,5,2021-08-29,4
1,1,3,2021-09-05,1
2,1,5,2021-09-12,1
4,1,14,2021-09-19,1
