"estimate","lower","upper","onset_date","n.reported"
67,67,67,2021-07-18,67
52,52,53,2021-07-25,52
44,44,45,2021-08-01,44
34,34,36,2021-08-08,34
34,34,36,2021-08-15,34
30,30,32,2021-08-22,30
15,15,17,2021-08-29,15
17,17,19,2021-09-05,17
12,12,15,2021-09-12,12
14,9,22,2021-09-19,7
