"estimate","lower","upper","onset_date","n.reported"
47,47,47,2021-07-25,47
33,33,34,2021-08-01,33
29,29,31,2021-08-08,29
27,27,29,2021-08-15,27
24,24,26,2021-08-22,24
11,11,13,2021-08-29,11
13,13,14,2021-09-05,13
9,9,11,2021-09-12,9
11,11,13,2021-09-19,11
6,2,11,2021-09-26,2
