"estimate","lower","upper","onset_date","n.reported"
65,65,65,2021-08-15,65
74,74,77,2021-08-22,74
53,53,56,2021-08-29,53
47,47,50,2021-09-05,47
52,52,55,2021-09-12,52
49,49,52,2021-09-19,49
41,40,44,2021-09-26,40
45,43,49,2021-10-03,43
28,23,35,2021-10-10,20
23,10,39,2021-10-17,2
