"estimate","lower","upper","onset_date","n.reported"
4,4,4,2021-06-27,4
1,1,2,2021-07-04,1
3,3,6,2021-07-11,3
0,0,3,2021-07-18,NA
2,2,6,2021-07-25,2
0,0,4,2021-08-01,NA
1,1,5,2021-08-08,1
3,2,6,2021-08-15,2
3,2,8,2021-08-22,2
2,0,8,2021-08-29,NA
