"estimate","lower","upper","onset_date","n.reported"
12,12,12,2021-07-11,12
15,15,17,2021-07-18,15
10,10,12,2021-07-25,10
3,3,4,2021-08-01,3
8,8,9,2021-08-08,8
4,4,5,2021-08-15,4
4,4,5,2021-08-22,4
7,7,8,2021-08-29,7
4,4,5,2021-09-05,4
5,3,9,2021-09-12,3
